NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
China Hut,400,Chinese,Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/china-hut-andheri-lokhandwala/info,104,Quick Bites,7pm to 4am(Mon-Fri),,,,
Chicago Waffles & Shakes,150,Desserts,,,,,,,,,,
Chilli Dilli,400,Asian,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Roshan Bakery,250,Bakery,,,,,,,,,,
Shree Prasad Lunch Home,600,North Indian,,,,,,,,,,
Fudboy,500,Thai,,,,,,,,,,
Pink Sugar,500,Bakery,,,,,,,,,,
Goregaon Kitchen,400,North Indian,,,,,,,,,,
Twisted L.A,400,Sandwich,,,,,,,,,,
Cafe Falak,500,Chinese,,,,,,,,,,
The Burger Pit,1200,American,Mumbai,Borivali West,https://www.zomato.com/mumbai/the-burger-pit-1-borivali-west/info,105,Casual Dining,12noon to 12midnight(Mon-Sun),Very Good,4.4,300,
Stir Fry Grill,850,Chinese,,,,,,,,,,
Tazza,350,Fast Food,,,,,,,,,,
Saroj,550,South Indian,,,,,,,,,,
Popular,350,Fast Food,,,,,,,,,,
Rolls On Coals,300,Fast Food,,,,,,,,,,
Too Much Drama,600,Fast Food,,,,,,,,,,
Italy in a Box,750,Italian,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Cafe Monza,1000,Italian,,,,,,,,,,
DP's The Fast Food Centre,1000,Chinese,,,,,,,,,,
Shobhaa Only Veg,800,Chinese,,,,,,,,,,
Kathi Kabab Roll,250,Fast Food,,,,,,,,,,
Cakes & Rolls,250,Desserts,,,,,,,,,,
MM Mithaiwala,300,Mithai,,,,,,,,,,
Casa De Cafe,500,Cafe,,,,,,,,,,
PEFE,850,Cafe,,,,,,,,,,
Taco Bell,550,Mexican,,,,,,,,,,
The Budapest Bakehouse,350,Desserts,,,,,,,,,,
King's Shawarma,250,Fast Food,Mumbai,Mohammad Ali Road,https://www.zomato.com/mumbai/kings-shawarma-mohammad-ali-road/info,106,Quick Bites,Closed(Mon),,,,
Mystery Box,550,Chinese,,,,,,,,,,
Mama Mia!,600,Chinese,,,,,,,,,,
Laxman's Om Vada Pav,100,Street Food,Mumbai,Ghatkopar East,https://www.zomato.com/mumbai/laxmans-om-vada-pav-ghatkopar-east/info,106,Quick Bites,Closed(Mon),,,,
Blue Tokai Coffee Roasters,550,Cafe,Mumbai,Pali Hill-- Bandra West,https://www.zomato.com/mumbai/blue-tokai-coffee-roasters-pali-hill-bandra-west/info,106,Café,8am to 11pm(Mon,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Da Capo Cafe & Bistro,850,Continental,,,,,,,,,,
Gypsy Corner,300,Street Food,,,,,,,,,,
Mao The Family Restaurant,900,Chinese,,,,,,,,,,
Sizzle House Dine In,1000,North Indian,,,,,,,,,,
Biryani Guru,750,Biryani,,,,,,,,,,
The Northern Vibe,300,Momos,,,,,,,,,,
